Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Belgium,Belgium,BE,85.33,124.09,81.86,26.79,entsoe.eu,false,
2022-01-01 01:00:00,Belgium,Belgium,BE,91.97,131.96,80.47,25.43,entsoe.eu,false,
2022-01-01 02:00:00,Belgium,Belgium,BE,75.48,112.55,83.81,27.57,entsoe.eu,false,
2022-01-01 03:00:00,Belgium,Belgium,BE,71.65,109.46,84.25,27.79,entsoe.eu,false,
2022-01-01 04:00:00,Belgium,Belgium,BE,69.89,106.84,84.58,27.53,entsoe.eu,false,
2022-01-01 05:00:00,Belgium,Belgium,BE,69.49,105.43,85.12,30.48,entsoe.eu,false,
2022-01-01 06:00:00,Belgium,Belgium,BE,71.5,107.9,84.66,29.96,entsoe.eu,false,
2022-01-01 07:00:00,Belgium,Belgium,BE,78.04,114.86,83.84,30.34,entsoe.eu,false,
2022-01-01 08:00:00,Belgium,Belgium,BE,75.99,112.98,83.86,31.96,entsoe.eu,false,
2022-01-01 09:00:00,Belgium,Belgium,BE,68.51,104.53,84.98,32.68,entsoe.eu,false,
2022-01-01 10:00:00,Belgium,Belgium,BE,63.12,98.1,86.27,34.66,entsoe.eu,false,
2022-01-01 11:00:00,Belgium,Belgium,BE,59.7,94.26,87.21,37.31,entsoe.eu,false,
2022-01-01 12:00:00,Belgium,Belgium,BE,59.26,94.13,86.93,36.83,entsoe.eu,false,
2022-01-01 13:00:00,Belgium,Belgium,BE,59.83,94.26,86.83,34.24,entsoe.eu,false,
2022-01-01 14:00:00,Belgium,Belgium,BE,59.04,92.4,86.98,31.85,entsoe.eu,false,
2022-01-01 15:00:00,Belgium,Belgium,BE,61.2,94.42,86.65,30.68,entsoe.eu,false,
2022-01-01 16:00:00,Belgium,Belgium,BE,68.43,101.29,86.52,34.72,entsoe.eu,false,
2022-01-01 17:00:00,Belgium,Belgium,BE,69.99,101.98,86.57,35.35,entsoe.eu,false,
2022-01-01 18:00:00,Belgium,Belgium,BE,70.67,102.41,86.68,36.79,entsoe.eu,false,
2022-01-01 19:00:00,Belgium,Belgium,BE,68.52,100.12,86.96,36.61,entsoe.eu,false,
2022-01-01 20:00:00,Belgium,Belgium,BE,62.85,95.47,86.9,34.37,entsoe.eu,false,
2022-01-01 21:00:00,Belgium,Belgium,BE,65.69,98.99,86.72,34.88,entsoe.eu,false,
2022-01-01 22:00:00,Belgium,Belgium,BE,58.62,91.79,87.06,33.37,entsoe.eu,false,
2022-01-01 23:00:00,Belgium,Belgium,BE,56.56,89.48,87.43,32.91,entsoe.eu,false,
2022-01-02 00:00:00,Belgium,Belgium,BE,69.31,104.79,84.93,32.81,entsoe.eu,false,
2022-01-02 01:00:00,Belgium,Belgium,BE,63.59,96.94,85.86,31.04,entsoe.eu,false,
2022-01-02 02:00:00,Belgium,Belgium,BE,60.48,91.93,86.56,31.09,entsoe.eu,false,
2022-01-02 03:00:00,Belgium,Belgium,BE,62.02,94.18,86.21,31.39,entsoe.eu,false,
2022-01-02 04:00:00,Belgium,Belgium,BE,62.62,95.32,86.13,33.09,entsoe.eu,false,
2022-01-02 05:00:00,Belgium,Belgium,BE,62.7,94.92,86.18,34.45,entsoe.eu,false,
2022-01-02 06:00:00,Belgium,Belgium,BE,60.05,92.82,86.72,37.15,entsoe.eu,false,
2022-01-02 07:00:00,Belgium,Belgium,BE,59.07,92.02,86.95,38.06,entsoe.eu,false,
2022-01-02 08:00:00,Belgium,Belgium,BE,59.64,92.13,86.81,36.88,entsoe.eu,false,
2022-01-02 09:00:00,Belgium,Belgium,BE,59.0,91.22,86.95,37.15,entsoe.eu,false,
2022-01-02 10:00:00,Belgium,Belgium,BE,58.86,91.38,86.96,37.4,entsoe.eu,false,
2022-01-02 11:00:00,Belgium,Belgium,BE,63.44,97.0,86.78,39.52,entsoe.eu,false,
2022-01-02 12:00:00,Belgium,Belgium,BE,63.71,97.58,86.63,38.56,entsoe.eu,false,
2022-01-02 13:00:00,Belgium,Belgium,BE,65.19,99.76,86.42,38.56,entsoe.eu,false,
2022-01-02 14:00:00,Belgium,Belgium,BE,66.75,101.3,86.37,38.54,entsoe.eu,false,
2022-01-02 15:00:00,Belgium,Belgium,BE,70.68,104.48,86.35,39.03,entsoe.eu,false,
2022-01-02 16:00:00,Belgium,Belgium,BE,72.49,104.74,87.03,40.73,entsoe.eu,false,
2022-01-02 17:00:00,Belgium,Belgium,BE,72.22,104.14,86.74,41.32,entsoe.eu,false,
2022-01-02 18:00:00,Belgium,Belgium,BE,65.61,96.14,88.0,42.44,entsoe.eu,false,
2022-01-02 19:00:00,Belgium,Belgium,BE,59.86,91.1,88.03,41.15,entsoe.eu,false,
2022-01-02 20:00:00,Belgium,Belgium,BE,60.93,93.65,87.13,39.99,entsoe.eu,false,
2022-01-02 21:00:00,Belgium,Belgium,BE,62.55,94.9,87.24,40.07,entsoe.eu,false,
2022-01-02 22:00:00,Belgium,Belgium,BE,58.62,91.83,87.06,37.85,entsoe.eu,false,
2022-01-02 23:00:00,Belgium,Belgium,BE,57.94,91.03,87.13,37.39,entsoe.eu,false,
2022-01-03 00:00:00,Belgium,Belgium,BE,58.97,90.87,87.01,36.84,entsoe.eu,false,
2022-01-03 01:00:00,Belgium,Belgium,BE,59.01,90.06,86.89,35.8,entsoe.eu,false,
2022-01-03 02:00:00,Belgium,Belgium,BE,59.07,90.06,86.87,35.71,entsoe.eu,false,
2022-01-03 03:00:00,Belgium,Belgium,BE,60.28,91.57,86.63,34.88,entsoe.eu,false,
2022-01-03 04:00:00,Belgium,Belgium,BE,61.15,93.09,86.54,35.67,entsoe.eu,false,
2022-01-03 05:00:00,Belgium,Belgium,BE,65.38,98.48,86.49,39.32,entsoe.eu,false,
2022-01-03 06:00:00,Belgium,Belgium,BE,67.86,102.14,85.84,38.76,entsoe.eu,false,
2022-01-03 07:00:00,Belgium,Belgium,BE,71.82,108.38,84.18,36.89,entsoe.eu,false,
2022-01-03 08:00:00,Belgium,Belgium,BE,85.08,123.87,81.84,35.61,entsoe.eu,false,
2022-01-03 09:00:00,Belgium,Belgium,BE,83.13,121.99,82.14,35.9,entsoe.eu,false,
2022-01-03 10:00:00,Belgium,Belgium,BE,88.65,127.74,82.0,37.01,entsoe.eu,false,
2022-01-03 11:00:00,Belgium,Belgium,BE,88.36,127.04,82.33,37.51,entsoe.eu,false,
2022-01-03 12:00:00,Belgium,Belgium,BE,87.43,125.79,82.7,37.71,entsoe.eu,false,
2022-01-03 13:00:00,Belgium,Belgium,BE,85.97,123.84,83.13,37.88,entsoe.eu,false,
2022-01-03 14:00:00,Belgium,Belgium,BE,90.64,128.96,82.55,36.79,entsoe.eu,false,
2022-01-03 15:00:00,Belgium,Belgium,BE,97.35,135.91,82.01,36.02,entsoe.eu,false,
2022-01-03 16:00:00,Belgium,Belgium,BE,109.02,148.04,80.79,38.02,entsoe.eu,false,
2022-01-03 17:00:00,Belgium,Belgium,BE,126.5,169.11,77.34,36.38,entsoe.eu,false,
2022-01-03 18:00:00,Belgium,Belgium,BE,123.25,165.28,78.37,35.07,entsoe.eu,false,
2022-01-03 19:00:00,Belgium,Belgium,BE,122.93,165.05,78.34,32.75,entsoe.eu,false,
2022-01-03 20:00:00,Belgium,Belgium,BE,124.27,167.6,77.67,29.23,entsoe.eu,false,
2022-01-03 21:00:00,Belgium,Belgium,BE,124.79,169.53,76.91,25.98,entsoe.eu,false,
2022-01-03 22:00:00,Belgium,Belgium,BE,121.9,166.82,76.94,25.5,entsoe.eu,false,
2022-01-03 23:00:00,Belgium,Belgium,BE,125.07,170.51,76.29,26.21,entsoe.eu,false,
2022-01-04 00:00:00,Belgium,Belgium,BE,111.69,155.52,78.21,23.32,entsoe.eu,false,
2022-01-04 01:00:00,Belgium,Belgium,BE,103.78,145.86,80.15,23.47,entsoe.eu,false,
2022-01-04 02:00:00,Belgium,Belgium,BE,105.52,147.41,80.05,22.52,entsoe.eu,false,
2022-01-04 03:00:00,Belgium,Belgium,BE,108.04,149.91,79.75,20.24,entsoe.eu,false,
2022-01-04 04:00:00,Belgium,Belgium,BE,109.34,150.61,80.1,19.77,entsoe.eu,false,
2022-01-04 05:00:00,Belgium,Belgium,BE,103.63,144.74,79.91,19.11,entsoe.eu,false,
2022-01-04 06:00:00,Belgium,Belgium,BE,110.18,153.07,78.55,20.25,entsoe.eu,false,
2022-01-04 07:00:00,Belgium,Belgium,BE,121.39,165.31,76.92,20.84,entsoe.eu,false,
2022-01-04 08:00:00,Belgium,Belgium,BE,117.4,160.81,77.17,20.69,entsoe.eu,false,
2022-01-04 09:00:00,Belgium,Belgium,BE,124.09,168.97,75.77,18.21,entsoe.eu,false,
2022-01-04 10:00:00,Belgium,Belgium,BE,128.33,174.1,74.96,19.18,entsoe.eu,false,
2022-01-04 11:00:00,Belgium,Belgium,BE,131.55,179.26,73.61,19.23,entsoe.eu,false,
2022-01-04 12:00:00,Belgium,Belgium,BE,133.96,182.61,73.0,19.79,entsoe.eu,false,
2022-01-04 13:00:00,Belgium,Belgium,BE,130.12,178.07,73.73,21.34,entsoe.eu,false,
2022-01-04 14:00:00,Belgium,Belgium,BE,130.01,177.27,74.21,20.02,entsoe.eu,false,
2022-01-04 15:00:00,Belgium,Belgium,BE,131.04,178.2,74.25,22.09,entsoe.eu,false,
2022-01-04 16:00:00,Belgium,Belgium,BE,144.91,191.86,73.58,25.46,entsoe.eu,false,
2022-01-04 17:00:00,Belgium,Belgium,BE,165.83,218.09,68.71,23.27,entsoe.eu,false,
2022-01-04 18:00:00,Belgium,Belgium,BE,152.08,203.16,70.13,24.5,entsoe.eu,false,
2022-01-04 19:00:00,Belgium,Belgium,BE,158.63,210.19,69.85,24.02,entsoe.eu,false,
2022-01-04 20:00:00,Belgium,Belgium,BE,148.15,197.18,71.88,27.66,entsoe.eu,false,
2022-01-04 21:00:00,Belgium,Belgium,BE,128.85,175.13,74.86,28.34,entsoe.eu,false,
2022-01-04 22:00:00,Belgium,Belgium,BE,127.57,172.61,75.8,29.06,entsoe.eu,false,
2022-01-04 23:00:00,Belgium,Belgium,BE,123.81,168.29,76.38,28.72,entsoe.eu,false,
2022-01-05 00:00:00,Belgium,Belgium,BE,124.11,168.34,76.44,30.51,entsoe.eu,false,
2022-01-05 01:00:00,Belgium,Belgium,BE,107.61,149.23,79.05,31.92,entsoe.eu,false,
2022-01-05 02:00:00,Belgium,Belgium,BE,93.75,132.93,81.51,32.79,entsoe.eu,false,
2022-01-05 03:00:00,Belgium,Belgium,BE,96.87,136.58,80.97,33.47,entsoe.eu,false,
2022-01-05 04:00:00,Belgium,Belgium,BE,106.92,147.97,79.56,34.2,entsoe.eu,false,
2022-01-05 05:00:00,Belgium,Belgium,BE,108.11,150.55,78.11,34.27,entsoe.eu,false,
2022-01-05 06:00:00,Belgium,Belgium,BE,119.11,161.67,77.65,35.78,entsoe.eu,false,
2022-01-05 07:00:00,Belgium,Belgium,BE,123.78,166.26,77.35,37.29,entsoe.eu,false,
2022-01-05 08:00:00,Belgium,Belgium,BE,125.6,169.38,76.48,36.5,entsoe.eu,false,
2022-01-05 09:00:00,Belgium,Belgium,BE,122.5,166.01,76.9,37.49,entsoe.eu,false,
2022-01-05 10:00:00,Belgium,Belgium,BE,118.96,162.56,77.35,37.77,entsoe.eu,false,
2022-01-05 11:00:00,Belgium,Belgium,BE,116.18,159.4,77.99,37.64,entsoe.eu,false,
2022-01-05 12:00:00,Belgium,Belgium,BE,110.76,154.36,78.44,36.56,entsoe.eu,false,
2022-01-05 13:00:00,Belgium,Belgium,BE,117.19,162.2,77.14,34.92,entsoe.eu,false,
2022-01-05 14:00:00,Belgium,Belgium,BE,130.83,178.44,74.08,32.1,entsoe.eu,false,
2022-01-05 15:00:00,Belgium,Belgium,BE,134.66,182.42,73.6,32.13,entsoe.eu,false,
2022-01-05 16:00:00,Belgium,Belgium,BE,144.78,192.23,73.05,34.01,entsoe.eu,false,
2022-01-05 17:00:00,Belgium,Belgium,BE,154.6,203.45,71.49,34.55,entsoe.eu,false,
2022-01-05 18:00:00,Belgium,Belgium,BE,155.48,205.61,70.55,32.97,entsoe.eu,false,
2022-01-05 19:00:00,Belgium,Belgium,BE,150.86,201.2,70.73,30.11,entsoe.eu,false,
2022-01-05 20:00:00,Belgium,Belgium,BE,145.97,195.37,71.87,29.15,entsoe.eu,false,
2022-01-05 21:00:00,Belgium,Belgium,BE,145.3,193.5,73.01,29.42,entsoe.eu,false,
2022-01-05 22:00:00,Belgium,Belgium,BE,153.51,203.21,71.62,28.33,entsoe.eu,false,
2022-01-05 23:00:00,Belgium,Belgium,BE,157.2,208.94,70.24,27.08,entsoe.eu,false,
2022-01-06 00:00:00,Belgium,Belgium,BE,162.19,214.91,69.61,24.74,entsoe.eu,false,
2022-01-06 01:00:00,Belgium,Belgium,BE,163.66,217.33,68.61,22.17,entsoe.eu,false,
2022-01-06 02:00:00,Belgium,Belgium,BE,168.98,224.09,67.24,20.0,entsoe.eu,false,
2022-01-06 03:00:00,Belgium,Belgium,BE,174.71,230.62,66.56,18.28,entsoe.eu,false,
2022-01-06 04:00:00,Belgium,Belgium,BE,184.51,242.83,64.45,15.18,entsoe.eu,false,
2022-01-06 05:00:00,Belgium,Belgium,BE,184.64,242.25,64.43,14.48,entsoe.eu,false,
2022-01-06 06:00:00,Belgium,Belgium,BE,207.13,269.82,59.34,13.21,entsoe.eu,false,
