Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Brazil,Central Brazil,BR-CS,69.63,105.3,87.89,83.39,ons.org.br,false,
2022-01-01 01:00:00,Brazil,Central Brazil,BR-CS,70.4,106.18,87.76,83.0,ons.org.br,false,
2022-01-01 02:00:00,Brazil,Central Brazil,BR-CS,71.2,107.1,87.62,82.65,ons.org.br,false,
2022-01-01 03:00:00,Brazil,Central Brazil,BR-CS,67.94,103.23,88.18,83.04,ons.org.br,false,
2022-01-01 04:00:00,Brazil,Central Brazil,BR-CS,63.79,98.36,88.91,83.68,ons.org.br,false,
2022-01-01 05:00:00,Brazil,Central Brazil,BR-CS,64.72,99.45,88.74,83.4,ons.org.br,false,
2022-01-01 06:00:00,Brazil,Central Brazil,BR-CS,66.25,101.23,88.48,83.01,ons.org.br,false,
2022-01-01 07:00:00,Brazil,Central Brazil,BR-CS,66.62,101.66,88.41,82.95,ons.org.br,false,
2022-01-01 08:00:00,Brazil,Central Brazil,BR-CS,66.46,101.45,88.44,82.82,ons.org.br,false,
2022-01-01 09:00:00,Brazil,Central Brazil,BR-CS,64.93,99.65,88.71,82.75,ons.org.br,false,
2022-01-01 10:00:00,Brazil,Central Brazil,BR-CS,65.05,99.82,88.69,82.7,ons.org.br,false,
2022-01-01 11:00:00,Brazil,Central Brazil,BR-CS,68.38,103.76,88.11,82.09,ons.org.br,false,
2022-01-01 12:00:00,Brazil,Central Brazil,BR-CS,68.17,103.7,88.14,82.26,ons.org.br,false,
2022-01-01 13:00:00,Brazil,Central Brazil,BR-CS,65.58,100.69,88.6,82.83,ons.org.br,false,
2022-01-01 14:00:00,Brazil,Central Brazil,BR-CS,63.36,98.08,88.98,83.36,ons.org.br,false,
2022-01-01 15:00:00,Brazil,Central Brazil,BR-CS,62.68,97.3,89.1,83.54,ons.org.br,false,
2022-01-01 16:00:00,Brazil,Central Brazil,BR-CS,62.39,96.99,89.15,83.55,ons.org.br,false,
2022-01-01 17:00:00,Brazil,Central Brazil,BR-CS,62.68,97.22,89.1,83.5,ons.org.br,false,
2022-01-01 18:00:00,Brazil,Central Brazil,BR-CS,62.94,97.3,89.05,83.51,ons.org.br,false,
2022-01-01 19:00:00,Brazil,Central Brazil,BR-CS,61.51,95.33,89.3,83.96,ons.org.br,false,
2022-01-01 20:00:00,Brazil,Central Brazil,BR-CS,58.63,91.92,89.8,84.73,ons.org.br,false,
2022-01-01 21:00:00,Brazil,Central Brazil,BR-CS,53.18,85.71,90.75,85.97,ons.org.br,false,
2022-01-01 22:00:00,Brazil,Central Brazil,BR-CS,49.6,81.59,91.37,86.89,ons.org.br,false,
2022-01-01 23:00:00,Brazil,Central Brazil,BR-CS,48.27,80.08,91.6,87.26,ons.org.br,false,
2022-01-02 00:00:00,Brazil,Central Brazil,BR-CS,48.31,80.14,91.6,87.22,ons.org.br,false,
2022-01-02 01:00:00,Brazil,Central Brazil,BR-CS,48.31,80.2,91.6,87.17,ons.org.br,false,
2022-01-02 02:00:00,Brazil,Central Brazil,BR-CS,49.3,81.36,91.43,86.91,ons.org.br,false,
2022-01-02 03:00:00,Brazil,Central Brazil,BR-CS,51.96,84.44,90.96,86.23,ons.org.br,false,
2022-01-02 04:00:00,Brazil,Central Brazil,BR-CS,54.6,87.51,90.5,85.55,ons.org.br,false,
2022-01-02 05:00:00,Brazil,Central Brazil,BR-CS,56.38,89.65,90.19,85.04,ons.org.br,false,
2022-01-02 06:00:00,Brazil,Central Brazil,BR-CS,57.31,90.72,90.03,84.75,ons.org.br,false,
2022-01-02 07:00:00,Brazil,Central Brazil,BR-CS,57.94,91.44,89.92,84.58,ons.org.br,false,
2022-01-02 08:00:00,Brazil,Central Brazil,BR-CS,59.63,93.36,89.63,84.13,ons.org.br,false,
2022-01-02 09:00:00,Brazil,Central Brazil,BR-CS,62.17,96.3,89.19,83.43,ons.org.br,false,
2022-01-02 10:00:00,Brazil,Central Brazil,BR-CS,63.22,97.62,89.01,83.34,ons.org.br,false,
2022-01-02 11:00:00,Brazil,Central Brazil,BR-CS,62.7,97.11,89.1,83.57,ons.org.br,false,
2022-01-02 12:00:00,Brazil,Central Brazil,BR-CS,60.99,95.24,89.39,83.98,ons.org.br,false,
2022-01-02 13:00:00,Brazil,Central Brazil,BR-CS,59.41,93.51,89.67,84.38,ons.org.br,false,
2022-01-02 14:00:00,Brazil,Central Brazil,BR-CS,57.8,91.69,89.95,84.82,ons.org.br,false,
2022-01-02 15:00:00,Brazil,Central Brazil,BR-CS,56.99,90.66,90.09,85.05,ons.org.br,false,
2022-01-02 16:00:00,Brazil,Central Brazil,BR-CS,56.74,90.37,90.13,85.17,ons.org.br,false,
2022-01-02 17:00:00,Brazil,Central Brazil,BR-CS,56.9,90.44,90.1,85.18,ons.org.br,false,
2022-01-02 18:00:00,Brazil,Central Brazil,BR-CS,56.7,90.0,90.14,85.29,ons.org.br,false,
2022-01-02 19:00:00,Brazil,Central Brazil,BR-CS,56.51,89.61,90.17,85.5,ons.org.br,false,
2022-01-02 20:00:00,Brazil,Central Brazil,BR-CS,59.14,92.7,89.72,85.24,ons.org.br,false,
2022-01-02 21:00:00,Brazil,Central Brazil,BR-CS,63.03,97.43,89.04,84.71,ons.org.br,false,
2022-01-02 22:00:00,Brazil,Central Brazil,BR-CS,60.15,94.1,89.54,85.39,ons.org.br,false,
2022-01-02 23:00:00,Brazil,Central Brazil,BR-CS,59.83,93.75,89.6,85.45,ons.org.br,false,
2022-01-03 00:00:00,Brazil,Central Brazil,BR-CS,59.79,93.74,89.6,85.43,ons.org.br,false,
2022-01-03 01:00:00,Brazil,Central Brazil,BR-CS,60.7,94.8,89.44,85.21,ons.org.br,false,
2022-01-03 02:00:00,Brazil,Central Brazil,BR-CS,61.77,96.06,89.26,84.94,ons.org.br,false,
2022-01-03 03:00:00,Brazil,Central Brazil,BR-CS,56.97,90.41,90.09,85.66,ons.org.br,false,
2022-01-03 04:00:00,Brazil,Central Brazil,BR-CS,53.27,86.04,90.74,86.13,ons.org.br,false,
2022-01-03 05:00:00,Brazil,Central Brazil,BR-CS,53.89,86.77,90.63,85.91,ons.org.br,false,
2022-01-03 06:00:00,Brazil,Central Brazil,BR-CS,54.71,87.73,90.49,85.65,ons.org.br,false,
2022-01-03 07:00:00,Brazil,Central Brazil,BR-CS,54.07,86.97,90.6,85.77,ons.org.br,false,
2022-01-03 08:00:00,Brazil,Central Brazil,BR-CS,53.94,86.81,90.62,85.81,ons.org.br,false,
2022-01-03 09:00:00,Brazil,Central Brazil,BR-CS,54.94,87.96,90.45,85.68,ons.org.br,false,
2022-01-03 10:00:00,Brazil,Central Brazil,BR-CS,59.62,93.49,89.63,84.99,ons.org.br,false,
2022-01-03 11:00:00,Brazil,Central Brazil,BR-CS,69.94,105.77,87.84,83.51,ons.org.br,false,
2022-01-03 12:00:00,Brazil,Central Brazil,BR-CS,70.24,106.25,87.78,83.64,ons.org.br,false,
2022-01-03 13:00:00,Brazil,Central Brazil,BR-CS,69.42,105.42,87.93,83.82,ons.org.br,false,
2022-01-03 14:00:00,Brazil,Central Brazil,BR-CS,68.48,104.28,88.09,84.09,ons.org.br,false,
2022-01-03 15:00:00,Brazil,Central Brazil,BR-CS,69.48,105.43,87.92,83.94,ons.org.br,false,
2022-01-03 16:00:00,Brazil,Central Brazil,BR-CS,69.21,105.16,87.96,84.05,ons.org.br,false,
2022-01-03 17:00:00,Brazil,Central Brazil,BR-CS,68.67,104.6,88.06,84.18,ons.org.br,false,
2022-01-03 18:00:00,Brazil,Central Brazil,BR-CS,69.66,105.74,87.89,84.02,ons.org.br,false,
2022-01-03 19:00:00,Brazil,Central Brazil,BR-CS,70.03,106.03,87.82,83.93,ons.org.br,false,
2022-01-03 20:00:00,Brazil,Central Brazil,BR-CS,69.98,105.89,87.83,83.98,ons.org.br,false,
2022-01-03 21:00:00,Brazil,Central Brazil,BR-CS,72.19,108.4,87.45,83.57,ons.org.br,false,
2022-01-03 22:00:00,Brazil,Central Brazil,BR-CS,69.45,105.19,87.92,84.18,ons.org.br,false,
2022-01-03 23:00:00,Brazil,Central Brazil,BR-CS,70.05,105.88,87.82,84.13,ons.org.br,false,
2022-01-04 00:00:00,Brazil,Central Brazil,BR-CS,72.32,108.56,87.42,83.66,ons.org.br,false,
2022-01-04 01:00:00,Brazil,Central Brazil,BR-CS,74.45,111.06,87.05,83.22,ons.org.br,false,
2022-01-04 02:00:00,Brazil,Central Brazil,BR-CS,76.0,112.87,86.78,82.86,ons.org.br,false,
2022-01-04 03:00:00,Brazil,Central Brazil,BR-CS,79.01,116.38,86.26,82.05,ons.org.br,false,
2022-01-04 04:00:00,Brazil,Central Brazil,BR-CS,81.99,119.86,85.74,81.29,ons.org.br,false,
2022-01-04 05:00:00,Brazil,Central Brazil,BR-CS,79.21,116.58,86.22,81.77,ons.org.br,false,
2022-01-04 06:00:00,Brazil,Central Brazil,BR-CS,79.33,116.69,86.2,81.73,ons.org.br,false,
2022-01-04 07:00:00,Brazil,Central Brazil,BR-CS,77.83,114.95,86.46,81.95,ons.org.br,false,
2022-01-04 08:00:00,Brazil,Central Brazil,BR-CS,77.83,114.94,86.46,81.98,ons.org.br,false,
2022-01-04 09:00:00,Brazil,Central Brazil,BR-CS,79.58,116.98,86.16,81.72,ons.org.br,false,
2022-01-04 10:00:00,Brazil,Central Brazil,BR-CS,79.54,116.97,86.17,81.86,ons.org.br,false,
2022-01-04 11:00:00,Brazil,Central Brazil,BR-CS,80.5,118.15,86.0,81.82,ons.org.br,false,
2022-01-04 12:00:00,Brazil,Central Brazil,BR-CS,80.66,118.43,85.97,81.91,ons.org.br,false,
2022-01-04 13:00:00,Brazil,Central Brazil,BR-CS,80.32,118.06,86.03,81.99,ons.org.br,false,
2022-01-04 14:00:00,Brazil,Central Brazil,BR-CS,78.51,116.02,86.35,82.38,ons.org.br,false,
2022-01-04 15:00:00,Brazil,Central Brazil,BR-CS,78.36,115.87,86.37,82.4,ons.org.br,false,
2022-01-04 16:00:00,Brazil,Central Brazil,BR-CS,77.96,115.44,86.44,82.52,ons.org.br,false,
2022-01-04 17:00:00,Brazil,Central Brazil,BR-CS,77.16,114.49,86.58,82.67,ons.org.br,false,
2022-01-04 18:00:00,Brazil,Central Brazil,BR-CS,76.62,113.8,86.67,82.77,ons.org.br,false,
2022-01-04 19:00:00,Brazil,Central Brazil,BR-CS,77.06,114.26,86.6,82.75,ons.org.br,false,
2022-01-04 20:00:00,Brazil,Central Brazil,BR-CS,77.01,114.03,86.61,82.82,ons.org.br,false,
2022-01-04 21:00:00,Brazil,Central Brazil,BR-CS,76.52,113.41,86.69,82.93,ons.org.br,false,
2022-01-04 22:00:00,Brazil,Central Brazil,BR-CS,74.34,110.87,87.07,83.41,ons.org.br,false,
2022-01-04 23:00:00,Brazil,Central Brazil,BR-CS,74.96,111.57,86.96,83.33,ons.org.br,false,
2022-01-05 00:00:00,Brazil,Central Brazil,BR-CS,76.55,113.48,86.69,82.95,ons.org.br,false,
2022-01-05 01:00:00,Brazil,Central Brazil,BR-CS,77.02,114.05,86.6,82.81,ons.org.br,false,
