Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Canada,Ontario,CA-ON,37.3,59.79,89.92,30.27,ieso.ca,false,
2022-01-01 01:00:00,Canada,Ontario,CA-ON,30.68,50.61,91.73,29.65,ieso.ca,false,
2022-01-01 02:00:00,Canada,Ontario,CA-ON,27.02,45.7,92.7,29.81,ieso.ca,false,
2022-01-01 03:00:00,Canada,Ontario,CA-ON,22.42,39.33,93.94,28.7,ieso.ca,false,
2022-01-01 04:00:00,Canada,Ontario,CA-ON,7.83,20.44,97.88,29.29,ieso.ca,false,
2022-01-01 05:00:00,Canada,Ontario,CA-ON,5.94,17.91,98.39,29.22,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-01 06:00:00,Canada,Ontario,CA-ON,4.03,15.31,98.91,28.95,ieso.ca,false,
2022-01-01 07:00:00,Canada,Ontario,CA-ON,4.96,16.63,98.66,29.11,ieso.ca,false,
2022-01-01 08:00:00,Canada,Ontario,CA-ON,4.65,15.75,98.74,26.78,ieso.ca,false,
2022-01-01 09:00:00,Canada,Ontario,CA-ON,3.18,13.63,99.14,25.79,ieso.ca,false,
2022-01-01 10:00:00,Canada,Ontario,CA-ON,3.26,13.45,99.12,24.01,ieso.ca,false,
2022-01-01 11:00:00,Canada,Ontario,CA-ON,3.22,13.58,99.13,26.62,ieso.ca,false,
2022-01-01 12:00:00,Canada,Ontario,CA-ON,3.2,13.6,99.14,27.86,ieso.ca,false,
2022-01-01 13:00:00,Canada,Ontario,CA-ON,3.07,13.61,99.17,30.52,ieso.ca,false,
2022-01-01 14:00:00,Canada,Ontario,CA-ON,3.01,13.69,99.19,29.86,ieso.ca,false,
2022-01-01 15:00:00,Canada,Ontario,CA-ON,2.9,13.64,99.22,32.54,ieso.ca,false,
2022-01-01 16:00:00,Canada,Ontario,CA-ON,2.99,14.28,99.19,35.97,ieso.ca,false,
2022-01-01 17:00:00,Canada,Ontario,CA-ON,4.02,15.76,98.91,37.69,ieso.ca,false,
2022-01-01 18:00:00,Canada,Ontario,CA-ON,5.22,17.36,98.59,38.55,ieso.ca,false,
2022-01-01 19:00:00,Canada,Ontario,CA-ON,7.32,19.91,98.02,38.26,ieso.ca,false,
2022-01-01 20:00:00,Canada,Ontario,CA-ON,8.76,21.66,97.63,38.58,ieso.ca,false,
2022-01-01 21:00:00,Canada,Ontario,CA-ON,10.97,24.81,97.04,38.71,ieso.ca,false,
2022-01-01 22:00:00,Canada,Ontario,CA-ON,10.56,25.03,97.15,41.76,ieso.ca,false,
2022-01-01 23:00:00,Canada,Ontario,CA-ON,11.68,26.18,96.84,40.69,ieso.ca,false,
2022-01-02 00:00:00,Canada,Ontario,CA-ON,11.56,25.74,96.87,39.85,ieso.ca,false,
2022-01-02 01:00:00,Canada,Ontario,CA-ON,11.71,25.92,96.83,40.05,ieso.ca,false,
2022-01-02 02:00:00,Canada,Ontario,CA-ON,11.57,25.49,96.87,39.27,ieso.ca,false,
2022-01-02 03:00:00,Canada,Ontario,CA-ON,4.5,16.19,98.78,39.85,ieso.ca,false,
2022-01-02 04:00:00,Canada,Ontario,CA-ON,2.7,13.4,99.27,38.03,ieso.ca,false,
2022-01-02 05:00:00,Canada,Ontario,CA-ON,2.73,13.24,99.26,37.09,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-02 06:00:00,Canada,Ontario,CA-ON,2.75,13.06,99.26,36.06,ieso.ca,false,
2022-01-02 07:00:00,Canada,Ontario,CA-ON,2.76,13.08,99.25,35.84,ieso.ca,false,
2022-01-02 08:00:00,Canada,Ontario,CA-ON,2.82,12.99,99.24,34.8,ieso.ca,false,
2022-01-02 09:00:00,Canada,Ontario,CA-ON,2.92,13.22,99.21,35.1,ieso.ca,false,
2022-01-02 10:00:00,Canada,Ontario,CA-ON,4.13,14.71,98.88,34.56,ieso.ca,false,
2022-01-02 11:00:00,Canada,Ontario,CA-ON,7.33,18.91,98.02,34.73,ieso.ca,false,
2022-01-02 12:00:00,Canada,Ontario,CA-ON,13.19,26.5,96.44,33.26,ieso.ca,false,
2022-01-02 13:00:00,Canada,Ontario,CA-ON,22.46,38.57,93.93,31.9,ieso.ca,false,
2022-01-02 14:00:00,Canada,Ontario,CA-ON,25.69,42.92,93.06,31.78,ieso.ca,false,
2022-01-02 15:00:00,Canada,Ontario,CA-ON,24.82,42.83,93.29,36.09,ieso.ca,false,
2022-01-02 16:00:00,Canada,Ontario,CA-ON,25.36,43.92,93.14,37.36,ieso.ca,false,
2022-01-02 17:00:00,Canada,Ontario,CA-ON,28.0,47.03,92.43,36.1,ieso.ca,false,
