Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Switzerland,Switzerland,CH,77.26,111.44,89.58,53.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,Switzerland,Switzerland,CH,78.91,112.76,89.76,53.54,Electricity Maps Estimation,false,
2022-01-01 02:00:00,Switzerland,Switzerland,CH,80.13,114.19,89.59,52.7,Electricity Maps Estimation,false,
2022-01-01 03:00:00,Switzerland,Switzerland,CH,78.38,112.76,89.48,51.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,Switzerland,Switzerland,CH,82.3,117.13,89.09,50.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,Switzerland,Switzerland,CH,85.11,120.15,88.74,50.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,Switzerland,Switzerland,CH,86.83,121.7,88.49,49.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,Switzerland,Switzerland,CH,83.14,117.52,88.8,46.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,Switzerland,Switzerland,CH,79.7,113.05,89.45,47.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,Switzerland,Switzerland,CH,66.96,98.49,90.96,46.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,Switzerland,Switzerland,CH,51.43,80.77,92.49,45.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,Switzerland,Switzerland,CH,57.92,89.34,91.68,48.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,Switzerland,Switzerland,CH,52.07,82.42,92.28,46.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,Switzerland,Switzerland,CH,53.69,82.74,92.26,43.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,Switzerland,Switzerland,CH,57.42,85.8,91.88,41.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,Switzerland,Switzerland,CH,65.81,93.95,91.28,39.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,Switzerland,Switzerland,CH,72.98,100.84,90.72,40.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,Switzerland,Switzerland,CH,83.35,112.1,89.91,44.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
