Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Germany,Germany,DE,455.04,533.4,49.34,28.95,entsoe.eu,false,
2021-01-01 01:00:00,Germany,Germany,DE,461.19,540.22,48.92,28.29,entsoe.eu,false,
2021-01-01 02:00:00,Germany,Germany,DE,471.3,550.78,48.0,27.05,entsoe.eu,false,
2021-01-01 03:00:00,Germany,Germany,DE,471.8,551.21,48.03,26.38,entsoe.eu,false,
2021-01-01 04:00:00,Germany,Germany,DE,482.08,562.52,46.98,25.85,entsoe.eu,false,
2021-01-01 05:00:00,Germany,Germany,DE,489.39,570.02,46.3,25.38,entsoe.eu,false,
2021-01-01 06:00:00,Germany,Germany,DE,484.87,565.73,46.5,25.27,entsoe.eu,false,
2021-01-01 07:00:00,Germany,Germany,DE,482.9,563.67,46.31,25.38,entsoe.eu,false,
2021-01-01 08:00:00,Germany,Germany,DE,467.68,547.73,47.37,27.12,entsoe.eu,false,
2021-01-01 09:00:00,Germany,Germany,DE,445.04,524.04,49.21,29.61,entsoe.eu,false,
2021-01-01 10:00:00,Germany,Germany,DE,431.03,509.52,50.05,30.96,entsoe.eu,false,
2021-01-01 11:00:00,Germany,Germany,DE,424.74,502.95,50.48,31.67,entsoe.eu,false,
2021-01-01 12:00:00,Germany,Germany,DE,429.27,508.32,49.86,30.79,entsoe.eu,false,
2021-01-01 13:00:00,Germany,Germany,DE,441.95,522.86,48.17,28.58,entsoe.eu,false,
2021-01-01 14:00:00,Germany,Germany,DE,456.61,538.58,46.2,25.63,entsoe.eu,false,
2021-01-01 15:00:00,Germany,Germany,DE,456.75,537.16,46.63,26.07,entsoe.eu,false,
2021-01-01 16:00:00,Germany,Germany,DE,460.96,537.91,48.13,29.59,entsoe.eu,false,
2021-01-01 17:00:00,Germany,Germany,DE,459.16,535.15,48.73,31.05,entsoe.eu,false,
2021-01-01 18:00:00,Germany,Germany,DE,457.76,533.45,49.06,31.69,entsoe.eu,false,
2021-01-01 19:00:00,Germany,Germany,DE,453.46,532.4,47.51,29.38,entsoe.eu,false,
2021-01-01 20:00:00,Germany,Germany,DE,445.4,524.65,47.83,29.42,entsoe.eu,false,
2021-01-01 21:00:00,Germany,Germany,DE,437.2,515.64,48.99,30.64,entsoe.eu,false,
2021-01-01 22:00:00,Germany,Germany,DE,435.4,514.19,49.21,29.93,entsoe.eu,false,
2021-01-01 23:00:00,Germany,Germany,DE,441.28,518.68,49.82,29.75,entsoe.eu,false,
2021-01-02 00:00:00,Germany,Germany,DE,441.5,518.36,50.15,29.66,entsoe.eu,false,
2021-01-02 01:00:00,Germany,Germany,DE,437.42,514.43,50.73,29.89,entsoe.eu,false,
2021-01-02 02:00:00,Germany,Germany,DE,437.12,514.47,50.78,29.75,entsoe.eu,false,
2021-01-02 03:00:00,Germany,Germany,DE,444.68,522.44,50.05,29.04,entsoe.eu,false,
2021-01-02 04:00:00,Germany,Germany,DE,456.31,534.56,48.84,27.92,entsoe.eu,false,
2021-01-02 05:00:00,Germany,Germany,DE,467.34,545.99,47.61,27.04,entsoe.eu,false,
2021-01-02 06:00:00,Germany,Germany,DE,480.65,559.84,45.93,25.82,entsoe.eu,false,
2021-01-02 07:00:00,Germany,Germany,DE,492.05,572.98,43.78,24.37,entsoe.eu,false,
2021-01-02 08:00:00,Germany,Germany,DE,492.27,572.6,43.63,25.08,entsoe.eu,false,
2021-01-02 09:00:00,Germany,Germany,DE,489.86,568.94,44.72,27.03,entsoe.eu,false,
2021-01-02 10:00:00,Germany,Germany,DE,485.48,564.35,45.19,27.88,entsoe.eu,false,
2021-01-02 11:00:00,Germany,Germany,DE,484.56,564.26,44.76,27.24,entsoe.eu,false,
2021-01-02 12:00:00,Germany,Germany,DE,492.22,573.06,43.64,25.87,entsoe.eu,false,
2021-01-02 13:00:00,Germany,Germany,DE,503.38,584.42,42.93,24.99,entsoe.eu,false,
2021-01-02 14:00:00,Germany,Germany,DE,511.26,594.38,40.94,22.33,entsoe.eu,false,
2021-01-02 15:00:00,Germany,Germany,DE,512.19,593.38,41.61,23.17,entsoe.eu,false,
2021-01-02 16:00:00,Germany,Germany,DE,507.34,582.68,45.51,28.83,entsoe.eu,false,
2021-01-02 17:00:00,Germany,Germany,DE,498.01,572.36,46.48,30.11,entsoe.eu,false,
2021-01-02 18:00:00,Germany,Germany,DE,491.5,566.84,46.21,29.7,entsoe.eu,false,
2021-01-02 19:00:00,Germany,Germany,DE,487.37,564.1,45.75,28.86,entsoe.eu,false,
2021-01-02 20:00:00,Germany,Germany,DE,478.31,556.33,45.41,28.04,entsoe.eu,false,
2021-01-02 21:00:00,Germany,Germany,DE,462.46,539.45,47.01,29.37,entsoe.eu,false,
2021-01-02 22:00:00,Germany,Germany,DE,438.61,512.57,50.39,32.41,entsoe.eu,false,
2021-01-02 23:00:00,Germany,Germany,DE,410.82,481.81,54.33,35.94,entsoe.eu,false,
2021-01-03 00:00:00,Germany,Germany,DE,392.43,462.28,56.59,38.48,entsoe.eu,false,
2021-01-03 01:00:00,Germany,Germany,DE,368.07,436.55,59.03,41.34,entsoe.eu,false,
2021-01-03 02:00:00,Germany,Germany,DE,347.37,414.0,61.06,43.27,entsoe.eu,false,
2021-01-03 03:00:00,Germany,Germany,DE,323.97,389.16,63.26,45.59,entsoe.eu,false,
2021-01-03 04:00:00,Germany,Germany,DE,306.73,369.96,65.01,47.88,entsoe.eu,false,
2021-01-03 05:00:00,Germany,Germany,DE,299.38,361.06,65.86,49.3,entsoe.eu,false,
2021-01-03 06:00:00,Germany,Germany,DE,302.69,364.11,65.67,49.65,entsoe.eu,false,
2021-01-03 07:00:00,Germany,Germany,DE,318.18,379.87,64.38,49.25,entsoe.eu,false,
2021-01-03 08:00:00,Germany,Germany,DE,327.03,388.29,63.6,49.01,entsoe.eu,false,
2021-01-03 09:00:00,Germany,Germany,DE,326.69,387.76,63.79,49.86,entsoe.eu,false,
2021-01-03 10:00:00,Germany,Germany,DE,331.29,391.59,63.77,50.38,entsoe.eu,false,
2021-01-03 11:00:00,Germany,Germany,DE,333.5,392.94,64.1,50.94,entsoe.eu,false,
2021-01-03 12:00:00,Germany,Germany,DE,329.92,390.59,63.66,50.13,entsoe.eu,false,
2021-01-03 13:00:00,Germany,Germany,DE,325.37,384.88,64.86,51.49,entsoe.eu,false,
2021-01-03 14:00:00,Germany,Germany,DE,330.92,391.8,63.57,49.73,entsoe.eu,false,
2021-01-03 15:00:00,Germany,Germany,DE,333.1,392.88,64.23,51.0,entsoe.eu,false,
2021-01-03 16:00:00,Germany,Germany,DE,345.9,403.67,64.61,51.9,entsoe.eu,false,
2021-01-03 17:00:00,Germany,Germany,DE,350.42,407.75,64.61,52.03,entsoe.eu,false,
2021-01-03 18:00:00,Germany,Germany,DE,354.32,414.05,63.03,50.0,entsoe.eu,false,
2021-01-03 19:00:00,Germany,Germany,DE,344.63,406.15,62.55,49.02,entsoe.eu,false,
