Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Spain,Spain,ES,90.64,128.55,79.71,52.6,entsoe.eu,false,
2021-01-01 01:00:00,Spain,Spain,ES,88.21,125.59,80.43,51.71,entsoe.eu,false,
2021-01-01 02:00:00,Spain,Spain,ES,85.22,121.75,81.29,51.89,entsoe.eu,false,
2021-01-01 03:00:00,Spain,Spain,ES,82.55,118.53,81.87,52.85,entsoe.eu,false,
2021-01-01 04:00:00,Spain,Spain,ES,81.77,117.42,82.22,53.3,entsoe.eu,false,
2021-01-01 05:00:00,Spain,Spain,ES,78.69,113.54,82.87,54.24,entsoe.eu,false,
2021-01-01 06:00:00,Spain,Spain,ES,74.77,108.61,83.7,56.0,entsoe.eu,false,
2021-01-01 07:00:00,Spain,Spain,ES,73.48,107.05,83.93,56.98,entsoe.eu,false,
2021-01-01 08:00:00,Spain,Spain,ES,67.36,99.89,85.33,59.66,entsoe.eu,false,
2021-01-01 09:00:00,Spain,Spain,ES,62.41,94.34,86.46,62.82,entsoe.eu,false,
2021-01-01 10:00:00,Spain,Spain,ES,59.56,91.2,86.99,64.39,entsoe.eu,false,
2021-01-01 11:00:00,Spain,Spain,ES,57.37,88.62,87.43,65.46,entsoe.eu,false,
2021-01-01 12:00:00,Spain,Spain,ES,56.96,88.13,87.58,65.98,entsoe.eu,false,
2021-01-01 13:00:00,Spain,Spain,ES,61.94,94.18,86.32,64.8,entsoe.eu,false,
2021-01-01 14:00:00,Spain,Spain,ES,62.29,94.19,86.49,63.93,entsoe.eu,false,
2021-01-01 15:00:00,Spain,Spain,ES,67.3,100.02,85.26,61.75,entsoe.eu,false,
2021-01-01 16:00:00,Spain,Spain,ES,71.02,104.03,84.38,59.67,entsoe.eu,false,
2021-01-01 17:00:00,Spain,Spain,ES,72.37,105.64,83.85,59.98,entsoe.eu,false,
2021-01-01 18:00:00,Spain,Spain,ES,75.2,109.32,82.92,59.84,entsoe.eu,false,
2021-01-01 19:00:00,Spain,Spain,ES,76.55,111.05,82.46,59.98,entsoe.eu,false,
2021-01-01 20:00:00,Spain,Spain,ES,72.82,106.2,83.57,60.25,entsoe.eu,false,
2021-01-01 21:00:00,Spain,Spain,ES,74.19,107.97,83.21,59.73,entsoe.eu,false,
2021-01-01 22:00:00,Spain,Spain,ES,74.61,108.45,83.25,58.08,entsoe.eu,false,
2021-01-01 23:00:00,Spain,Spain,ES,80.65,116.23,81.97,55.14,entsoe.eu,false,
2021-01-02 00:00:00,Spain,Spain,ES,82.21,118.15,81.68,54.75,entsoe.eu,false,
2021-01-02 01:00:00,Spain,Spain,ES,82.77,118.75,81.61,54.66,entsoe.eu,false,
2021-01-02 02:00:00,Spain,Spain,ES,85.54,121.95,80.96,53.94,entsoe.eu,false,
2021-01-02 03:00:00,Spain,Spain,ES,86.47,123.27,80.65,53.64,entsoe.eu,false,
2021-01-02 04:00:00,Spain,Spain,ES,83.71,119.69,81.35,54.75,entsoe.eu,false,
2021-01-02 05:00:00,Spain,Spain,ES,85.02,121.28,81.01,54.86,entsoe.eu,false,
2021-01-02 06:00:00,Spain,Spain,ES,88.82,126.06,80.04,54.81,entsoe.eu,false,
2021-01-02 07:00:00,Spain,Spain,ES,84.1,120.52,80.94,56.06,entsoe.eu,false,
2021-01-02 08:00:00,Spain,Spain,ES,81.19,117.39,81.45,58.51,entsoe.eu,false,
