Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Finland,Finland,FI,149.84,184.68,74.21,40.5,entsoe.eu,false,
2021-01-01 01:00:00,Finland,Finland,FI,152.78,188.11,73.69,39.72,entsoe.eu,false,
2021-01-01 02:00:00,Finland,Finland,FI,152.98,188.19,73.64,39.81,entsoe.eu,false,
2021-01-01 03:00:00,Finland,Finland,FI,152.99,188.24,73.65,39.79,entsoe.eu,false,
2021-01-01 04:00:00,Finland,Finland,FI,151.36,186.49,73.96,40.06,entsoe.eu,false,
2021-01-01 05:00:00,Finland,Finland,FI,151.55,186.71,74.17,40.55,entsoe.eu,false,
2021-01-01 06:00:00,Finland,Finland,FI,149.29,184.53,74.62,41.43,entsoe.eu,false,
2021-01-01 07:00:00,Finland,Finland,FI,152.11,187.68,74.23,41.37,entsoe.eu,false,
2021-01-01 08:00:00,Finland,Finland,FI,157.03,193.1,73.48,40.75,entsoe.eu,false,
2021-01-01 09:00:00,Finland,Finland,FI,152.8,188.39,74.33,41.96,entsoe.eu,false,
2021-01-01 10:00:00,Finland,Finland,FI,156.48,192.56,74.06,41.85,entsoe.eu,false,
2021-01-01 11:00:00,Finland,Finland,FI,159.37,196.21,73.67,41.56,entsoe.eu,false,
2021-01-01 12:00:00,Finland,Finland,FI,157.55,194.26,73.92,42.46,entsoe.eu,false,
2021-01-01 13:00:00,Finland,Finland,FI,153.12,189.29,74.74,43.66,entsoe.eu,false,
2021-01-01 14:00:00,Finland,Finland,FI,151.95,188.52,74.68,44.37,entsoe.eu,false,
2021-01-01 15:00:00,Finland,Finland,FI,154.52,191.19,74.2,44.03,entsoe.eu,false,
2021-01-01 16:00:00,Finland,Finland,FI,154.64,191.18,74.39,44.14,entsoe.eu,false,
2021-01-01 17:00:00,Finland,Finland,FI,153.12,189.25,74.85,43.99,entsoe.eu,false,
2021-01-01 18:00:00,Finland,Finland,FI,151.96,187.89,74.96,43.64,entsoe.eu,false,
2021-01-01 19:00:00,Finland,Finland,FI,149.2,185.02,75.09,42.76,entsoe.eu,false,
2021-01-01 20:00:00,Finland,Finland,FI,141.56,176.65,76.21,43.14,entsoe.eu,false,
2021-01-01 21:00:00,Finland,Finland,FI,139.85,174.82,76.37,42.46,entsoe.eu,false,
2021-01-01 22:00:00,Finland,Finland,FI,144.95,180.4,75.42,40.84,entsoe.eu,false,
2021-01-01 23:00:00,Finland,Finland,FI,148.7,184.37,75.15,39.52,entsoe.eu,false,
