Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,France,France,FR,25.09,43.84,94.23,25.36,opendata.reseaux-energies.fr,false,
2022-01-01 01:00:00,France,France,FR,26.73,46.22,93.86,24.33,opendata.reseaux-energies.fr,false,
2022-01-01 02:00:00,France,France,FR,26.4,46.36,93.73,23.27,opendata.reseaux-energies.fr,false,
2022-01-01 03:00:00,France,France,FR,25.11,45.06,93.82,23.29,opendata.reseaux-energies.fr,false,
2022-01-01 04:00:00,France,France,FR,24.88,44.69,93.87,23.54,opendata.reseaux-energies.fr,false,
2022-01-01 05:00:00,France,France,FR,24.65,44.27,93.96,23.65,opendata.reseaux-energies.fr,false,
2022-01-01 06:00:00,France,France,FR,24.25,43.64,94.04,24.02,opendata.reseaux-energies.fr,false,
2022-01-01 07:00:00,France,France,FR,23.06,41.85,94.32,24.03,opendata.reseaux-energies.fr,false,
2022-01-01 08:00:00,France,France,FR,21.99,40.55,94.55,25.16,opendata.reseaux-energies.fr,false,
2022-01-01 09:00:00,France,France,FR,20.19,38.68,94.92,27.09,opendata.reseaux-energies.fr,false,
2022-01-01 10:00:00,France,France,FR,19.1,37.6,95.17,28.52,opendata.reseaux-energies.fr,false,
2022-01-01 11:00:00,France,France,FR,19.14,37.79,95.18,28.83,opendata.reseaux-energies.fr,false,
2022-01-01 12:00:00,France,France,FR,19.37,38.12,95.12,28.33,opendata.reseaux-energies.fr,false,
2022-01-01 13:00:00,France,France,FR,18.45,36.61,95.35,26.67,opendata.reseaux-energies.fr,false,
2022-01-01 14:00:00,France,France,FR,19.16,37.06,95.24,24.8,opendata.reseaux-energies.fr,false,
2022-01-01 15:00:00,France,France,FR,20.12,37.49,95.12,23.72,opendata.reseaux-energies.fr,false,
2022-01-01 16:00:00,France,France,FR,20.52,37.07,95.25,24.72,opendata.reseaux-energies.fr,false,
2022-01-01 17:00:00,France,France,FR,20.67,36.96,95.4,27.37,opendata.reseaux-energies.fr,false,
2022-01-01 18:00:00,France,France,FR,21.17,37.62,95.31,28.23,opendata.reseaux-energies.fr,false,
2022-01-01 19:00:00,France,France,FR,21.01,37.78,95.2,27.67,opendata.reseaux-energies.fr,false,
2022-01-01 20:00:00,France,France,FR,20.55,37.67,95.06,26.38,opendata.reseaux-energies.fr,false,
2022-01-01 21:00:00,France,France,FR,21.76,39.47,94.68,25.56,opendata.reseaux-energies.fr,false,
2022-01-01 22:00:00,France,France,FR,22.33,40.24,94.56,25.92,opendata.reseaux-energies.fr,false,
2022-01-01 23:00:00,France,France,FR,23.04,41.64,94.28,25.49,opendata.reseaux-energies.fr,false,
2022-01-02 00:00:00,France,France,FR,24.27,43.28,93.99,25.28,opendata.reseaux-energies.fr,false,
2022-01-02 01:00:00,France,France,FR,23.97,42.93,94.05,25.13,opendata.reseaux-energies.fr,false,
2022-01-02 02:00:00,France,France,FR,24.42,43.6,93.93,25.82,opendata.reseaux-energies.fr,false,
2022-01-02 03:00:00,France,France,FR,24.55,43.95,93.9,27.02,opendata.reseaux-energies.fr,false,
2022-01-02 04:00:00,France,France,FR,24.26,43.63,93.98,27.98,opendata.reseaux-energies.fr,false,
2022-01-02 05:00:00,France,France,FR,23.74,42.96,94.11,29.53,opendata.reseaux-energies.fr,false,
2022-01-02 06:00:00,France,France,FR,23.22,42.31,94.23,30.64,opendata.reseaux-energies.fr,false,
2022-01-02 07:00:00,France,France,FR,21.71,40.27,94.61,30.84,opendata.reseaux-energies.fr,false,
2022-01-02 08:00:00,France,France,FR,20.83,39.12,94.81,31.35,opendata.reseaux-energies.fr,false,
2022-01-02 09:00:00,France,France,FR,19.89,37.93,95.03,31.92,opendata.reseaux-energies.fr,false,
