Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Great Britain,Great Britain,GB,53.59,92.88,87.03,60.96,bmreports.com,false,
2022-01-01 01:00:00,Great Britain,Great Britain,GB,55.9,95.62,87.68,62.89,bmreports.com,false,
2022-01-01 02:00:00,Great Britain,Great Britain,GB,55.02,94.92,87.96,63.8,bmreports.com,false,
2022-01-01 03:00:00,Great Britain,Great Britain,GB,49.6,87.69,89.57,65.5,bmreports.com,false,
2022-01-01 04:00:00,Great Britain,Great Britain,GB,49.39,87.75,89.63,65.24,bmreports.com,false,
2022-01-01 05:00:00,Great Britain,Great Britain,GB,48.2,86.94,89.86,65.23,bmreports.com,false,
2022-01-01 06:00:00,Great Britain,Great Britain,GB,44.13,81.54,90.63,66.64,bmreports.com,false,
2022-01-01 07:00:00,Great Britain,Great Britain,GB,40.78,76.04,90.85,66.66,bmreports.com,false,
2022-01-01 08:00:00,Great Britain,Great Britain,GB,40.9,74.79,89.89,65.8,bmreports.com,false,
2022-01-01 09:00:00,Great Britain,Great Britain,GB,42.37,76.91,88.79,65.41,bmreports.com,false,
2022-01-01 10:00:00,Great Britain,Great Britain,GB,37.94,71.54,89.92,66.77,bmreports.com,false,
2022-01-01 11:00:00,Great Britain,Great Britain,GB,38.38,72.51,90.02,67.18,bmreports.com,false,
2022-01-01 12:00:00,Great Britain,Great Britain,GB,48.82,86.62,87.62,65.43,bmreports.com,false,
2022-01-01 13:00:00,Great Britain,Great Britain,GB,46.4,83.98,87.9,64.29,bmreports.com,false,
2022-01-01 14:00:00,Great Britain,Great Britain,GB,48.27,85.99,87.4,63.43,bmreports.com,false,
2022-01-01 15:00:00,Great Britain,Great Britain,GB,59.29,98.45,84.59,60.98,bmreports.com,false,
2022-01-01 16:00:00,Great Britain,Great Britain,GB,69.21,112.16,82.11,60.26,bmreports.com,false,
2022-01-01 17:00:00,Great Britain,Great Britain,GB,71.54,115.29,81.88,60.02,bmreports.com,false,
