Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Italy,North Italy,IT-NO,246.77,310.73,51.09,30.57,entsoe.eu,false,
2022-01-01 01:00:00,Italy,North Italy,IT-NO,247.43,313.51,51.44,31.58,entsoe.eu,false,
2022-01-01 02:00:00,Italy,North Italy,IT-NO,238.13,303.23,53.07,32.14,entsoe.eu,false,
2022-01-01 03:00:00,Italy,North Italy,IT-NO,229.58,291.09,55.11,32.86,entsoe.eu,false,
2022-01-01 04:00:00,Italy,North Italy,IT-NO,232.83,293.98,54.94,32.65,entsoe.eu,false,
2022-01-01 05:00:00,Italy,North Italy,IT-NO,224.33,286.45,56.64,34.19,entsoe.eu,false,
2022-01-01 06:00:00,Italy,North Italy,IT-NO,223.03,278.18,57.04,34.03,entsoe.eu,false,
2022-01-01 07:00:00,Italy,North Italy,IT-NO,206.79,259.64,60.49,35.4,entsoe.eu,false,
2022-01-01 08:00:00,Italy,North Italy,IT-NO,193.68,243.27,63.25,37.17,entsoe.eu,false,
2022-01-01 09:00:00,Italy,North Italy,IT-NO,191.09,242.63,63.06,37.99,entsoe.eu,false,
2022-01-01 10:00:00,Italy,North Italy,IT-NO,200.75,259.42,59.33,36.76,entsoe.eu,false,
2022-01-01 11:00:00,Italy,North Italy,IT-NO,209.06,268.19,58.16,37.99,entsoe.eu,false,
2022-01-01 12:00:00,Italy,North Italy,IT-NO,210.09,270.71,57.8,38.68,entsoe.eu,false,
2022-01-01 13:00:00,Italy,North Italy,IT-NO,195.04,252.28,61.51,36.62,entsoe.eu,false,
2022-01-01 14:00:00,Italy,North Italy,IT-NO,195.05,249.78,61.71,32.14,entsoe.eu,false,
2022-01-01 15:00:00,Italy,North Italy,IT-NO,212.66,271.43,58.14,31.71,entsoe.eu,false,
2022-01-01 16:00:00,Italy,North Italy,IT-NO,229.9,287.82,58.02,36.15,entsoe.eu,false,
2022-01-01 17:00:00,Italy,North Italy,IT-NO,239.9,296.83,58.27,39.02,entsoe.eu,false,
2022-01-01 18:00:00,Italy,North Italy,IT-NO,247.71,304.47,58.24,40.36,entsoe.eu,false,
2022-01-01 19:00:00,Italy,North Italy,IT-NO,254.5,313.51,55.99,38.02,entsoe.eu,false,
2022-01-01 20:00:00,Italy,North Italy,IT-NO,249.45,311.14,54.43,34.96,entsoe.eu,false,
2022-01-01 21:00:00,Italy,North Italy,IT-NO,244.5,308.94,51.43,30.6,entsoe.eu,false,
2022-01-01 22:00:00,Italy,North Italy,IT-NO,241.23,305.74,51.92,29.3,entsoe.eu,false,
2022-01-01 23:00:00,Italy,North Italy,IT-NO,215.82,276.26,57.53,30.08,entsoe.eu,false,
2022-01-02 00:00:00,Italy,North Italy,IT-NO,229.11,290.35,54.81,29.29,entsoe.eu,false,
2022-01-02 01:00:00,Italy,North Italy,IT-NO,228.35,289.35,54.87,29.36,entsoe.eu,false,
2022-01-02 02:00:00,Italy,North Italy,IT-NO,237.0,301.2,53.15,28.94,entsoe.eu,false,
2022-01-02 03:00:00,Italy,North Italy,IT-NO,244.0,309.29,51.32,27.93,entsoe.eu,false,
2022-01-02 04:00:00,Italy,North Italy,IT-NO,247.5,311.66,51.03,27.89,entsoe.eu,false,
2022-01-02 05:00:00,Italy,North Italy,IT-NO,241.7,306.19,51.77,28.3,entsoe.eu,false,
2022-01-02 06:00:00,Italy,North Italy,IT-NO,240.22,303.97,52.27,29.99,entsoe.eu,false,
2022-01-02 07:00:00,Italy,North Italy,IT-NO,231.53,295.2,54.03,32.47,entsoe.eu,false,
2022-01-02 08:00:00,Italy,North Italy,IT-NO,227.09,290.65,54.3,33.92,entsoe.eu,false,
2022-01-02 09:00:00,Italy,North Italy,IT-NO,223.73,289.91,54.9,37.03,entsoe.eu,false,
2022-01-02 10:00:00,Italy,North Italy,IT-NO,224.02,291.21,54.04,37.2,entsoe.eu,false,
2022-01-02 11:00:00,Italy,North Italy,IT-NO,223.89,290.47,54.33,38.29,entsoe.eu,false,
2022-01-02 12:00:00,Italy,North Italy,IT-NO,231.06,299.59,52.48,36.47,entsoe.eu,false,
2022-01-02 13:00:00,Italy,North Italy,IT-NO,230.04,297.37,53.48,34.13,entsoe.eu,false,
2022-01-02 14:00:00,Italy,North Italy,IT-NO,228.0,294.02,53.75,31.61,entsoe.eu,false,
2022-01-02 15:00:00,Italy,North Italy,IT-NO,221.97,284.73,56.3,33.32,entsoe.eu,false,
2022-01-02 16:00:00,Italy,North Italy,IT-NO,236.08,296.0,57.52,37.54,entsoe.eu,false,
2022-01-02 17:00:00,Italy,North Italy,IT-NO,238.61,299.09,56.89,37.52,entsoe.eu,false,
2022-01-02 18:00:00,Italy,North Italy,IT-NO,235.14,295.49,57.51,38.37,entsoe.eu,false,
2022-01-02 19:00:00,Italy,North Italy,IT-NO,231.93,292.38,57.4,37.97,entsoe.eu,false,
2022-01-02 20:00:00,Italy,North Italy,IT-NO,226.92,293.1,54.11,32.6,entsoe.eu,false,
2022-01-02 21:00:00,Italy,North Italy,IT-NO,218.69,280.5,56.75,33.99,entsoe.eu,false,
2022-01-02 22:00:00,Italy,North Italy,IT-NO,212.37,272.21,58.87,35.72,entsoe.eu,false,
2022-01-02 23:00:00,Italy,North Italy,IT-NO,226.19,288.26,55.51,31.73,entsoe.eu,false,
2022-01-03 00:00:00,Italy,North Italy,IT-NO,238.61,305.27,52.25,30.09,entsoe.eu,false,
2022-01-03 01:00:00,Italy,North Italy,IT-NO,245.27,314.42,51.08,30.14,entsoe.eu,false,
2022-01-03 02:00:00,Italy,North Italy,IT-NO,241.01,309.6,51.92,29.99,entsoe.eu,false,
2022-01-03 03:00:00,Italy,North Italy,IT-NO,243.94,311.01,51.5,30.09,entsoe.eu,false,
2022-01-03 04:00:00,Italy,North Italy,IT-NO,238.54,304.94,53.02,31.13,entsoe.eu,false,
2022-01-03 05:00:00,Italy,North Italy,IT-NO,257.25,327.65,48.2,28.69,entsoe.eu,false,
2022-01-03 06:00:00,Italy,North Italy,IT-NO,268.13,340.11,45.49,27.97,entsoe.eu,false,
2022-01-03 07:00:00,Italy,North Italy,IT-NO,268.37,339.24,45.85,30.73,entsoe.eu,false,
2022-01-03 08:00:00,Italy,North Italy,IT-NO,268.72,340.47,45.77,32.45,entsoe.eu,false,
2022-01-03 09:00:00,Italy,North Italy,IT-NO,270.54,343.87,45.35,31.27,entsoe.eu,false,
2022-01-03 10:00:00,Italy,North Italy,IT-NO,272.3,346.74,44.72,30.59,entsoe.eu,false,
2022-01-03 11:00:00,Italy,North Italy,IT-NO,278.22,354.88,42.7,29.11,entsoe.eu,false,
2022-01-03 12:00:00,Italy,North Italy,IT-NO,270.74,346.09,44.2,29.13,entsoe.eu,false,
2022-01-03 13:00:00,Italy,North Italy,IT-NO,273.54,348.17,43.85,27.33,entsoe.eu,false,
2022-01-03 14:00:00,Italy,North Italy,IT-NO,270.41,342.35,46.02,28.52,entsoe.eu,false,
2022-01-03 15:00:00,Italy,North Italy,IT-NO,270.37,342.95,45.75,29.02,entsoe.eu,false,
2022-01-03 16:00:00,Italy,North Italy,IT-NO,261.41,331.36,48.14,34.56,entsoe.eu,false,
2022-01-03 17:00:00,Italy,North Italy,IT-NO,258.74,327.59,48.84,34.78,entsoe.eu,false,
2022-01-03 18:00:00,Italy,North Italy,IT-NO,266.71,338.03,46.7,31.84,entsoe.eu,false,
2022-01-03 19:00:00,Italy,North Italy,IT-NO,283.25,357.93,43.17,28.2,entsoe.eu,false,
2022-01-03 20:00:00,Italy,North Italy,IT-NO,274.81,346.18,45.91,27.19,entsoe.eu,false,
2022-01-03 21:00:00,Italy,North Italy,IT-NO,277.95,351.13,44.72,24.45,entsoe.eu,false,
2022-01-03 22:00:00,Italy,North Italy,IT-NO,271.78,342.88,46.59,25.33,entsoe.eu,false,
2022-01-03 23:00:00,Italy,North Italy,IT-NO,264.58,333.01,49.38,25.98,entsoe.eu,false,
2022-01-04 00:00:00,Italy,North Italy,IT-NO,250.83,316.32,52.01,26.01,entsoe.eu,false,
2022-01-04 01:00:00,Italy,North Italy,IT-NO,259.1,326.16,49.45,24.55,entsoe.eu,false,
2022-01-04 02:00:00,Italy,North Italy,IT-NO,268.67,339.3,46.59,23.41,entsoe.eu,false,
2022-01-04 03:00:00,Italy,North Italy,IT-NO,271.02,342.58,46.01,21.99,entsoe.eu,false,
2022-01-04 04:00:00,Italy,North Italy,IT-NO,272.68,344.89,45.56,20.94,entsoe.eu,false,
2022-01-04 05:00:00,Italy,North Italy,IT-NO,297.17,376.76,39.12,18.62,entsoe.eu,false,
