Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Netherlands,Netherlands,NL,270.8,345.87,46.31,42.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,Netherlands,Netherlands,NL,281.17,358.83,44.14,39.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,Netherlands,Netherlands,NL,281.31,359.09,43.77,38.51,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,Netherlands,Netherlands,NL,272.18,347.94,45.47,39.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,Netherlands,Netherlands,NL,275.03,351.96,44.29,36.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,Netherlands,Netherlands,NL,261.14,335.03,47.15,38.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,Netherlands,Netherlands,NL,257.88,330.98,48.1,38.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,Netherlands,Netherlands,NL,257.43,330.54,47.91,36.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,Netherlands,Netherlands,NL,251.35,323.19,48.87,36.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,Netherlands,Netherlands,NL,214.84,280.58,56.2,45.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,Netherlands,Netherlands,NL,206.97,271.84,57.86,47.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,Netherlands,Netherlands,NL,208.99,274.28,57.6,49.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,Netherlands,Netherlands,NL,208.01,273.23,57.73,49.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,Netherlands,Netherlands,NL,209.38,274.66,57.44,49.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,Netherlands,Netherlands,NL,221.42,288.49,55.02,46.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,Netherlands,Netherlands,NL,252.34,323.99,48.85,40.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,Netherlands,Netherlands,NL,277.57,354.11,43.84,36.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,Netherlands,Netherlands,NL,274.17,348.66,45.88,39.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 18:00:00,Netherlands,Netherlands,NL,276.56,352.2,44.61,38.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 19:00:00,Netherlands,Netherlands,NL,265.36,338.42,47.28,41.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 20:00:00,Netherlands,Netherlands,NL,261.65,334.1,47.75,41.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 21:00:00,Netherlands,Netherlands,NL,264.51,337.47,47.56,41.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 22:00:00,Netherlands,Netherlands,NL,264.52,337.93,46.88,42.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 23:00:00,Netherlands,Netherlands,NL,254.92,326.7,48.47,43.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 00:00:00,Netherlands,Netherlands,NL,249.42,319.59,49.89,45.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 01:00:00,Netherlands,Netherlands,NL,254.31,325.22,48.6,44.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 02:00:00,Netherlands,Netherlands,NL,238.7,306.33,51.72,47.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 03:00:00,Netherlands,Netherlands,NL,232.09,298.51,52.97,46.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 04:00:00,Netherlands,Netherlands,NL,235.29,302.69,52.29,44.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 05:00:00,Netherlands,Netherlands,NL,229.82,296.37,53.38,45.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 06:00:00,Netherlands,Netherlands,NL,230.75,297.32,53.2,46.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
