Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Poland,Poland,PL,594.46,667.3,36.59,35.64,entsoe.eu,false,
2022-01-01 01:00:00,Poland,Poland,PL,598.84,672.27,35.9,34.69,entsoe.eu,false,
2022-01-01 02:00:00,Poland,Poland,PL,612.78,686.56,34.9,33.68,entsoe.eu,false,
2022-01-01 03:00:00,Poland,Poland,PL,605.16,678.58,35.6,34.57,entsoe.eu,false,
2022-01-01 04:00:00,Poland,Poland,PL,607.26,680.64,35.41,34.17,entsoe.eu,false,
2022-01-01 05:00:00,Poland,Poland,PL,620.8,694.98,34.46,33.33,entsoe.eu,false,
2022-01-01 06:00:00,Poland,Poland,PL,624.02,698.77,34.09,33.03,entsoe.eu,false,
2022-01-01 07:00:00,Poland,Poland,PL,611.79,686.43,34.83,33.65,entsoe.eu,false,
2022-01-01 08:00:00,Poland,Poland,PL,623.33,697.94,34.11,33.15,entsoe.eu,false,
2022-01-01 09:00:00,Poland,Poland,PL,644.11,719.78,32.36,31.95,entsoe.eu,false,
2022-01-01 10:00:00,Poland,Poland,PL,659.12,735.35,30.9,29.77,entsoe.eu,false,
2022-01-01 11:00:00,Poland,Poland,PL,702.58,781.41,26.8,26.05,entsoe.eu,false,
2022-01-01 12:00:00,Poland,Poland,PL,729.55,810.2,24.23,23.08,entsoe.eu,false,
2022-01-01 13:00:00,Poland,Poland,PL,754.28,836.92,21.86,20.65,entsoe.eu,false,
2022-01-01 14:00:00,Poland,Poland,PL,792.75,878.68,18.78,18.17,entsoe.eu,false,
2022-01-01 15:00:00,Poland,Poland,PL,815.11,902.74,17.78,16.91,entsoe.eu,false,
2022-01-01 16:00:00,Poland,Poland,PL,833.83,923.45,17.56,17.03,entsoe.eu,false,
2022-01-01 17:00:00,Poland,Poland,PL,817.6,906.7,19.12,17.89,entsoe.eu,false,
2022-01-01 18:00:00,Poland,Poland,PL,808.96,898.88,19.65,18.38,entsoe.eu,false,
2022-01-01 19:00:00,Poland,Poland,PL,808.08,897.84,19.61,18.42,entsoe.eu,false,
2022-01-01 20:00:00,Poland,Poland,PL,809.07,898.51,18.4,17.05,entsoe.eu,false,
2022-01-01 21:00:00,Poland,Poland,PL,806.53,895.86,18.19,16.78,entsoe.eu,false,
2022-01-01 22:00:00,Poland,Poland,PL,784.13,871.97,18.77,17.15,entsoe.eu,false,
2022-01-01 23:00:00,Poland,Poland,PL,753.13,838.42,21.25,19.26,entsoe.eu,false,
2022-01-02 00:00:00,Poland,Poland,PL,705.07,787.02,25.91,23.66,entsoe.eu,false,
2022-01-02 01:00:00,Poland,Poland,PL,670.77,750.17,29.28,26.83,entsoe.eu,false,
2022-01-02 02:00:00,Poland,Poland,PL,648.1,725.54,31.63,29.37,entsoe.eu,false,
2022-01-02 03:00:00,Poland,Poland,PL,628.59,704.36,33.68,31.56,entsoe.eu,false,
2022-01-02 04:00:00,Poland,Poland,PL,625.53,700.72,33.97,31.93,entsoe.eu,false,
2022-01-02 05:00:00,Poland,Poland,PL,619.99,694.91,34.56,32.65,entsoe.eu,false,
2022-01-02 06:00:00,Poland,Poland,PL,617.37,691.98,34.85,32.75,entsoe.eu,false,
2022-01-02 07:00:00,Poland,Poland,PL,607.23,680.65,35.96,33.88,entsoe.eu,false,
2022-01-02 08:00:00,Poland,Poland,PL,602.49,675.39,37.82,35.88,entsoe.eu,false,
2022-01-02 09:00:00,Poland,Poland,PL,602.86,675.24,38.02,36.3,entsoe.eu,false,
2022-01-02 10:00:00,Poland,Poland,PL,595.02,666.71,38.79,37.02,entsoe.eu,false,
2022-01-02 11:00:00,Poland,Poland,PL,607.65,679.84,37.59,36.26,entsoe.eu,false,
2022-01-02 12:00:00,Poland,Poland,PL,612.89,685.18,36.82,35.38,entsoe.eu,false,
2022-01-02 13:00:00,Poland,Poland,PL,614.96,687.21,35.7,33.85,entsoe.eu,false,
2022-01-02 14:00:00,Poland,Poland,PL,618.82,691.3,35.97,34.26,entsoe.eu,false,
2022-01-02 15:00:00,Poland,Poland,PL,618.64,690.71,37.16,35.61,entsoe.eu,false,
2022-01-02 16:00:00,Poland,Poland,PL,604.53,675.28,40.05,38.89,entsoe.eu,false,
2022-01-02 17:00:00,Poland,Poland,PL,577.07,646.21,43.57,42.34,entsoe.eu,false,
2022-01-02 18:00:00,Poland,Poland,PL,563.74,631.68,43.1,41.75,entsoe.eu,false,
2022-01-02 19:00:00,Poland,Poland,PL,557.83,625.28,42.28,40.91,entsoe.eu,false,
2022-01-02 20:00:00,Poland,Poland,PL,545.17,611.6,42.57,41.47,entsoe.eu,false,
2022-01-02 21:00:00,Poland,Poland,PL,527.24,592.52,44.43,42.85,entsoe.eu,false,
2022-01-02 22:00:00,Poland,Poland,PL,522.06,586.96,44.75,43.7,entsoe.eu,false,
2022-01-02 23:00:00,Poland,Poland,PL,509.61,573.76,45.97,44.76,entsoe.eu,false,
2022-01-03 00:00:00,Poland,Poland,PL,528.29,594.15,43.95,42.69,entsoe.eu,false,
2022-01-03 01:00:00,Poland,Poland,PL,538.41,605.3,42.88,41.59,entsoe.eu,false,
2022-01-03 02:00:00,Poland,Poland,PL,555.09,623.34,41.25,39.87,entsoe.eu,false,
2022-01-03 03:00:00,Poland,Poland,PL,582.3,652.39,38.67,37.33,entsoe.eu,false,
2022-01-03 04:00:00,Poland,Poland,PL,630.58,704.0,34.05,32.91,entsoe.eu,false,
2022-01-03 05:00:00,Poland,Poland,PL,653.07,727.77,32.43,30.96,entsoe.eu,false,
2022-01-03 06:00:00,Poland,Poland,PL,696.55,773.92,28.22,26.81,entsoe.eu,false,
2022-01-03 07:00:00,Poland,Poland,PL,710.82,788.95,27.13,25.81,entsoe.eu,false,
2022-01-03 08:00:00,Poland,Poland,PL,707.82,785.35,27.23,25.94,entsoe.eu,false,
2022-01-03 09:00:00,Poland,Poland,PL,685.37,761.3,29.41,28.2,entsoe.eu,false,
2022-01-03 10:00:00,Poland,Poland,PL,669.82,744.51,31.09,29.89,entsoe.eu,false,
2022-01-03 11:00:00,Poland,Poland,PL,665.1,739.27,32.28,31.09,entsoe.eu,false,
2022-01-03 12:00:00,Poland,Poland,PL,662.06,735.77,32.41,31.23,entsoe.eu,false,
2022-01-03 13:00:00,Poland,Poland,PL,664.93,738.67,31.7,30.39,entsoe.eu,false,
2022-01-03 14:00:00,Poland,Poland,PL,671.63,745.89,32.21,30.94,entsoe.eu,false,
2022-01-03 15:00:00,Poland,Poland,PL,681.79,756.75,32.09,30.79,entsoe.eu,false,
2022-01-03 16:00:00,Poland,Poland,PL,692.53,768.34,31.33,30.07,entsoe.eu,false,
2022-01-03 17:00:00,Poland,Poland,PL,699.69,776.34,30.28,29.0,entsoe.eu,false,
2022-01-03 18:00:00,Poland,Poland,PL,702.34,779.14,28.73,27.4,entsoe.eu,false,
2022-01-03 19:00:00,Poland,Poland,PL,699.48,776.02,28.21,26.88,entsoe.eu,false,
2022-01-03 20:00:00,Poland,Poland,PL,690.91,766.83,28.74,27.42,entsoe.eu,false,
2022-01-03 21:00:00,Poland,Poland,PL,670.85,745.86,30.41,28.8,entsoe.eu,false,
2022-01-03 22:00:00,Poland,Poland,PL,649.31,723.27,32.29,30.51,entsoe.eu,false,
2022-01-03 23:00:00,Poland,Poland,PL,667.52,742.15,30.95,29.28,entsoe.eu,false,
2022-01-04 00:00:00,Poland,Poland,PL,680.82,756.71,29.57,27.98,entsoe.eu,false,
2022-01-04 01:00:00,Poland,Poland,PL,692.1,769.06,28.38,26.67,entsoe.eu,false,
2022-01-04 02:00:00,Poland,Poland,PL,688.68,765.5,28.64,26.75,entsoe.eu,false,
2022-01-04 03:00:00,Poland,Poland,PL,696.18,773.88,27.66,25.62,entsoe.eu,false,
2022-01-04 04:00:00,Poland,Poland,PL,725.81,805.82,24.46,22.84,entsoe.eu,false,
2022-01-04 05:00:00,Poland,Poland,PL,738.67,819.62,23.34,21.47,entsoe.eu,false,
2022-01-04 06:00:00,Poland,Poland,PL,768.96,851.78,20.51,18.9,entsoe.eu,false,
2022-01-04 07:00:00,Poland,Poland,PL,776.51,859.75,19.84,18.37,entsoe.eu,false,
2022-01-04 08:00:00,Poland,Poland,PL,785.3,869.61,18.8,17.43,entsoe.eu,false,
2022-01-04 09:00:00,Poland,Poland,PL,787.55,872.41,18.6,17.04,entsoe.eu,false,
2022-01-04 10:00:00,Poland,Poland,PL,794.94,880.58,18.54,17.02,entsoe.eu,false,
2022-01-04 11:00:00,Poland,Poland,PL,798.78,885.11,17.64,16.01,entsoe.eu,false,
2022-01-04 12:00:00,Poland,Poland,PL,802.71,890.0,17.09,15.41,entsoe.eu,false,
